Year,County,Total:,    Built 1939 or earlier,    Built 1940 to 1949,    Built 1950 to 1959,    Built 1960 to 1969,    Built 1970 to 1979,    Built 1980 to 1989,    Built 1990 to 1999,    Built 2000 to 2004,    Built 2000 to 2009,    Built 2005 or later,    Built 2010 or later,    Built 2010 to 2013,    Built 2010 to 2019,    Built 2014 or later,    Built 2020 or later
2021,Cape May County   ,"99,233","12,468","2,827","10,307","9,760","13,446","16,350","8,509",,"15,790",,,,"8,704",,"1,072"
2021,Cumberland County   ,"57,204","10,258","3,742","11,541","7,783","7,122","4,362","4,956",,"5,141",,,,"2,214",,85
2021,Essex County   ,"336,277","92,840","35,373","48,736","46,234","29,959","25,600","14,151",,"26,706",,,,"15,683",,995
2021,Gloucester County   ,"117,734","11,286","4,012","14,045","12,006","17,916","18,178","12,965",,"18,831",,,,"7,971",,524
2021,Hudson County   ,"317,049","95,891","19,730","25,663","30,284","30,091","20,390","21,790",,"34,615",,,,"37,675",,920
2021,Hunterdon County   ,"51,904","8,700","1,943","3,818","4,576","7,473","11,082","7,916",,"5,016",,,,"1,318",,62
2021,Mercer County   ,"150,655","27,772","11,414","23,638","20,340","18,627","17,217","12,278",,"12,161",,,,"6,986",,222
2021,Middlesex County   ,"317,102","36,771","17,236","47,362","50,255","39,309","49,991","29,466",,"26,721",,,,"19,020",,971
2021,Monmouth County   ,"269,883","33,640","11,039","32,591","37,813","36,285","42,178","29,506",,"28,294",,,,"17,812",,725
2021,Morris County   ,"198,738","22,348","12,464","28,329","33,841","28,653","23,797","21,645",,"16,000",,,,"10,932",,729
2021,New Jersey Total,"3,779,591","651,769","253,905","529,630","510,383","467,335","443,800","326,488",,"349,122",,,,"232,392",,"14,767"
2021,Ocean County   ,"295,585","11,934","6,995","26,776","40,551","58,796","44,746","36,754",,"38,824",,,,"28,078",,"2,131"
2021,Passaic County   ,"185,494","49,580","19,300","34,323","24,185","15,568","14,124","10,337",,"9,863",,,,"7,861",,353
2021,Salem County   ,"27,736","6,716","2,256","4,809","3,780","2,925","2,048","2,157",,"1,933",,,,"1,112",,0
2021,Somerset County   ,"133,257","11,807","6,690","16,039","17,368","11,201","25,963","20,950",,"14,117",,,,"8,829",,293
2021,Sussex County   ,"62,865","9,169","2,639","8,106","7,681","12,178","9,809","6,043",,"5,647",,,,"1,515",,78
2021,Union County   ,"211,071","52,787","26,076","44,495","31,691","14,354","11,009","6,615",,"11,891",,,,"11,173",,980
2021,Warren County   ,"46,764","10,044","2,589","5,760","4,496","6,360","5,544","5,612",,"4,470",,,,"1,767",,122
2022,Atlantic County   ,"132,154","17,067","5,308","13,928","14,300","16,043","22,688","12,559",,"19,062",,,,"9,384",,"1,815"
2022,Bergen County   ,"369,379","70,576","38,081","78,311","47,398","34,794","33,219","22,098",,"19,885",,,,"20,363",,"4,654"
2022,Burlington County   ,"186,200","18,893","6,256","21,650","24,951","32,169","27,697","22,989",,"21,433",,,,"7,296",,"2,866"
2022,Camden County   ,"213,805","38,545","14,318","33,444","33,839","30,696","21,290","17,884",,"15,104",,,,"7,133",,"1,552"
2022,Cape May County   ,"99,408","11,876","3,500","8,006","10,153","15,156","17,083","11,153",,"14,074",,,,"7,180",,"1,227"
2022,Cumberland County   ,"57,254","8,979","4,023","7,588","8,683","7,432","7,483","4,533",,"5,543",,,,"2,499",,491
2022,Essex County   ,"336,538","97,866","35,340","50,038","40,194","30,281","18,671","14,751",,"28,296",,,,"19,774",,"1,327"
2022,Gloucester County   ,"117,807","11,641","5,092","11,470","13,624","17,129","14,919","14,593",,"18,832",,,,"9,368",,"1,139"
2022,Hudson County   ,"319,614","97,360","23,051","22,949","28,334","28,886","20,924","18,472",,"34,257",,,,"39,557",,"5,824"
2022,Hunterdon County   ,"51,952","9,464","1,394","3,653","3,599","6,722","11,242","7,923",,"5,328",,,,"2,432",,195
2022,Mercer County   ,"150,703","26,595","11,133","21,631","17,067","19,746","19,152","10,921",,"15,815",,,,"7,511",,"1,132"
2022,Middlesex County   ,"317,277","28,922","16,423","48,163","44,660","41,108","53,320","32,274",,"28,337",,,,"22,023",,"2,047"
2022,Monmouth County   ,"270,187","35,169","9,299","35,202","36,864","35,650","41,748","29,282",,"26,409",,,,"17,817",,"2,747"
2022,Morris County   ,"198,970","25,916","12,536","27,938","30,927","25,873","26,300","21,439",,"18,189",,,,"8,501",,"1,351"
2022,New Jersey Total,"3,785,097","647,877","253,200","516,342","479,832","464,033","450,694","325,959",,"365,336",,,,"244,848",,"36,976"
2022,Ocean County   ,"295,648","12,262","7,007","24,933","41,784","56,722","46,021","33,082",,"42,541",,,,"28,172",,"3,124"
2022,Passaic County   ,"185,492","52,501","21,608","30,159","22,634","16,226","11,897","8,453",,"12,368",,,,"8,689",,957
2022,Salem County   ,"27,740","4,847","1,750","5,562","3,718","4,526","2,057","2,420",,"1,953",,,,618,,289
2022,Somerset County   ,"133,429","13,163","6,397","12,563","17,368","11,473","27,878","22,442",,"13,313",,,,"7,977",,855
2022,Sussex County   ,"62,848","8,708","3,923","8,737","7,762","11,291","8,350","6,515",,"6,138",,,,"1,152",,272
2022,Union County   ,"211,906","46,836","24,725","45,671","26,905","16,343","11,645","7,649",,"12,773",,,,"16,585",,"2,774"
2022,Warren County   ,"46,786","10,691","2,036","4,746","5,068","5,767","7,110","4,527",,"5,686",,,,817,,338
2023,Atlantic County   ,"132,179","15,430","5,976","13,904","16,006","16,426","20,935","14,420",,"18,728",,,,"8,634",,"1,720"
2023,Bergen County   ,"370,464","74,659","36,120","72,946","51,652","34,912","29,610","18,102",,"24,017",,,,"21,625",,"6,821"
2023,Burlington County   ,"186,753","19,850","4,743","19,452","27,421","32,498","24,016","23,611",,"20,487",,,,"10,750",,"3,925"
2023,Camden County   ,"213,947","38,673","17,412","30,404","28,372","34,863","26,189","13,728",,"12,256",,,,"8,372",,"3,678"
2023,Cape May County   ,"99,491","13,618","4,444","7,866","9,904","14,705","15,890","9,401",,"14,959",,,,"6,358",,"2,346"
2023,Cumberland County   ,"57,336","9,659","3,808","8,670","7,354","10,436","4,471","4,551",,"5,606",,,,"2,237",,544
2023,Essex County   ,"337,500","103,093","28,577","45,280","41,015","28,115","22,304","19,411",,"25,570",,,,"20,346",,"3,789"
2023,Gloucester County   ,"118,177","11,776","5,374","13,293","11,005","18,287","18,882","14,088",,"16,902",,,,"7,031",,"1,539"
2023,Hudson County   ,"325,334","97,061","19,719","27,950","28,096","27,289","25,846","16,307",,"35,624",,,,"37,397",,"10,045"
2023,Hunterdon County   ,"52,256","9,420","2,079","3,989","5,263","5,475","11,216","8,366",,"4,105",,,,"1,602",,741
2023,Mercer County   ,"151,262","26,503","6,652","21,885","19,797","18,739","20,135","13,807",,"14,441",,,,"7,411",,"1,892"
2023,Middlesex County   ,"319,111","37,990","17,562","45,904","47,157","36,722","47,589","30,643",,"30,642",,,,"19,760",,"5,142"
2023,Monmouth County   ,"271,056","36,542","9,920","32,276","41,494","35,037","44,754","26,576",,"24,675",,,,"16,359",,"3,423"
2023,Morris County   ,"200,038","23,545","10,214","30,637","31,626","26,858","24,644","24,211",,"14,609",,,,"10,144",,"3,550"
2023,New Jersey Total,"3,803,652","668,932","241,080","504,436","488,861","468,072","453,643","322,440",,"356,158",,,,"236,747",,"63,283"
2023,Ocean County   ,"296,757","10,732","10,768","26,262","38,398","56,514","46,535","34,827",,"40,797",,,,"27,016",,"4,908"
2023,Passaic County   ,"186,178","52,205","19,185","29,277","22,232","16,868","15,334","8,586",,"11,460",,,,"8,446",,"2,585"
2023,Salem County   ,"27,726","5,364","2,080","4,714","3,168","5,077","2,766","1,945",,"1,937",,,,530,,145
2023,Somerset County   ,"134,729","12,519","6,216","12,572","15,878","14,568","26,105","22,073",,"14,814",,,,"7,923",,"2,061"
2023,Sussex County   ,"62,889","8,683","3,240","6,744","9,333","11,461","9,504","5,631",,"6,961",,,,752,,580
2023,Union County   ,"213,603","51,676","24,652","46,641","29,439","16,655","11,172","6,421",,"11,651",,,,"11,637",,"3,659"
2023,Warren County   ,"46,866","9,934","2,339","3,770","4,251","6,567","5,746","5,735",,"5,917",,,,"2,417",,190
